,Unnamed: 0,models,r2 values,MSE values,Models,Scalers
0,0,Linear Regression (Power),0.2689474532834527,0.7215178714377688,Linear Regression,Power
1,1,Lasso (Power),0.2469525495003773,0.7432259090218254,Lasso,Power
2,2,Ridge (Power),0.2689473938253154,0.7215179301204295,Ridge,Power
3,3,Elastic Net (Power),0.25702405991207045,0.7332857552161294,Elastic Net,Power
4,4,SVR (Power),0.5091929008406599,0.4844057996412385,SVR,Power
5,5,RFR (Power),0.7232012296032468,0.27318865180110385,RFR,Power
6,6,Linear Regression (Standard),0.14479950520929374,0.9338439770739652,Linear Regression,Standard
7,7,Lasso (Standard),0.12528956414033698,0.9551480350946192,Lasso,Standard
8,8,Ridge (Standard),0.14479966135185862,0.933843806572668,Ridge,Standard
9,9,Elastic Net (Standard),0.13345598119068236,0.9462306415439928,Elastic Net,Standard
10,10,SVR (Standard),0.23252734253632198,0.8380487652977847,SVR,Standard
11,11,RFR (Standard),0.5990515030632805,0.4378193666420265,RFR,Standard
12,12,Linear Regression (Min Max),0.14479950520929394,0.008538471310900108,Linear Regression,Min Max
13,13,Lasso (Min Max),-0.0005441951007114644,0.009989608234786895,Lasso,Min Max
14,14,Ridge (Min Max),0.14480831567076158,0.008538383345711905,Ridge,Min Max
15,15,Elastic Net (Min Max),0.013341849554671879,0.009850967536337716,Elastic Net,Min Max
16,16,SVR (Min Max),0.1196635711585884,0.008789432872629737,SVR,Min Max
17,17,RFR (Min Max),0.5974228858217645,0.0040194003169713504,RFR,Min Max
18,18,Linear Regression (Robust),0.14479950520929386,3.8375305459709455,Linear Regression,Robust
19,19,Lasso (Robust),0.1322270711285196,3.893946673085073,Lasso,Robust
20,20,Ridge (Robust),0.14479982084216025,3.837529129635509,Ridge,Robust
21,21,Elastic Net (Robust),0.13672682828622762,3.8737549687451662,Elastic Net,Robust
22,22,SVR (Robust),0.17936586992560533,3.6824213274075484,SVR,Robust
23,23,RFR (Robust),0.5985797665454622,1.8012880219738123,RFR,Robust
