,Unnamed: 0,models,r2 values,MSE values,Models,Scalers
0,0,Linear Regression (Power),0.2431881312768833,0.7469412302200292,Linear Regression,Power
1,1,Lasso (Power),0.23046388320936684,0.7594995236321174,Lasso,Power
2,2,Ridge (Power),0.2431880604054609,0.7469413001671187,Ridge,Power
3,3,Elastic Net (Power),0.23533826265616076,0.7546887177621059,Elastic Net,Power
4,4,SVR (Power),0.47799745957195705,0.5151943776769068,SVR,Power
5,5,RFR (Power),0.7211003731970016,0.2752621080105632,RFR,Power
6,6,Linear Regression (Standard),0.13030136306064788,0.9496753555714582,Linear Regression,Standard
7,7,Lasso (Standard),0.11612943453596924,0.9651505221281996,Lasso,Standard
8,8,Ridge (Standard),0.13030126260855812,0.9496754652610336,Ridge,Standard
9,9,Elastic Net (Standard),0.12272580688454883,0.9579475532036252,Elastic Net,Standard
10,10,SVR (Standard),0.1971994235329437,0.8766254085350359,SVR,Standard
11,11,RFR (Standard),0.6037424629374971,0.4326970302403094,RFR,Standard
12,12,Linear Regression (Min Max),0.13030136306064774,0.00868322329777526,Linear Regression,Min Max
13,13,Lasso (Min Max),-0.0005441951007114644,0.009989608234786895,Lasso,Min Max
14,14,Ridge (Min Max),0.13029872130830855,0.008683249673492646,Ridge,Min Max
15,15,Elastic Net (Min Max),0.013341849554671879,0.009850967536337716,Elastic Net,Min Max
16,16,SVR (Min Max),0.10660317510499584,0.00891983015103623,SVR,Min Max
17,17,RFR (Min Max),0.6055937447670652,0.0039378210322131785,RFR,Min Max
18,18,Linear Regression (Robust),0.13030136306064802,3.9025878789521116,Linear Regression,Robust
19,19,Lasso (Robust),0.12174369833630436,3.940988581456246,Lasso,Robust
20,20,Ridge (Robust),0.13030120108796786,3.9025886057701062,Ridge,Robust
21,21,Elastic Net (Robust),0.12407878286583385,3.930510385683352,Elastic Net,Robust
22,22,SVR (Robust),0.15236359199519922,3.8035883133949566,SVR,Robust
23,23,RFR (Robust),0.6061670900041767,1.7672415197648719,RFR,Robust
