,Unnamed: 0,models,r2 values,MSE values,Models,Scalers
0,0,Linear Regression (Power),0.12601013271143435,0.8679031009595288,Linear Regression,Power
1,1,Lasso (Power),0.12464178632359492,0.8692619177120353,Lasso,Power
2,2,Ridge (Power),0.1260101629716358,0.8679030709100698,Ridge,Power
3,3,Elastic Net (Power),0.1258729073242143,0.868039370661909,Elastic Net,Power
4,4,SVR (Power),0.15843018775351114,0.8357088303421936,SVR,Power
5,5,RFR (Power),0.5400522980783424,0.4567444677767813,RFR,Power
6,6,Linear Regression (Standard),0.12872928601017364,0.8392783059792712,Linear Regression,Standard
7,7,Lasso (Standard),0.12745521047712316,0.8405055984130678,Lasso,Standard
8,8,Ridge (Standard),0.12872932188842126,0.8392782714184459,Ridge,Standard
9,9,Elastic Net (Standard),0.12903745668288802,0.8389814511028301,Elastic Net,Standard
10,10,SVR (Standard),0.20869630790405716,0.7622476132317018,SVR,Standard
11,11,RFR (Standard),0.6706202765628927,0.3172851467075068,RFR,Standard
12,12,Linear Regression (Min Max),0.1287292860101733,0.010886298458465246,Linear Regression,Min Max
13,13,Lasso (Min Max),-0.00018937355741366346,0.01249710320879502,Lasso,Min Max
14,14,Ridge (Min Max),0.12873119798658306,0.010886274568822787,Ridge,Min Max
15,15,Elastic Net (Min Max),0.050551925785891294,0.011863104016635793,Elastic Net,Min Max
16,16,SVR (Min Max),0.0848367557671652,0.011434724081696023,SVR,Min Max
17,17,RFR (Min Max),0.6690715962729612,0.004134863382310464,RFR,Min Max
18,18,Linear Regression (Robust),0.1287292860101732,53.3428624464797,Linear Regression,Robust
19,19,Lasso (Robust),0.1290418008574663,53.32372897137953,Lasso,Robust
20,20,Ridge (Robust),0.12872935328209734,53.3428583278092,Ridge,Robust
21,21,Elastic Net (Robust),0.12917074627591552,53.3158343898115,Elastic Net,Robust
22,22,SVR (Robust),0.0017482021409092052,61.11717917879,SVR,Robust
23,23,RFR (Robust),0.6692542137950085,20.249649959532157,RFR,Robust
