,Unnamed: 0,models,r2 values,MSE values,Models,Scalers
0,0,Linear Regression (Power),0.09323615898582904,0.9004488254488351,Linear Regression,Power
1,1,Lasso (Power),0.09197542026420903,0.9017007839519564,Lasso,Power
2,2,Ridge (Power),0.09323621509655787,0.9004487697288807,Ridge,Power
3,3,Elastic Net (Power),0.09291608464288736,0.9007666706838588,Elastic Net,Power
4,4,SVR (Power),0.0013347785676333102,0.9917101730144109,SVR,Power
5,5,RFR (Power),0.42018313810792746,0.5757788176491555,RFR,Power
6,6,Linear Regression (Standard),0.11128933781367056,0.8560778723410281,Linear Regression,Standard
7,7,Lasso (Standard),0.10986367811099816,0.8574511828872791,Lasso,Standard
8,8,Ridge (Standard),0.11128941005095183,0.8560778027562457,Ridge,Standard
9,9,Elastic Net (Standard),0.11085458298152374,0.8564966633013825,Elastic Net,Standard
10,10,SVR (Standard),0.03143051361625704,0.9330043403304988,SVR,Standard
11,11,RFR (Standard),0.5085147932817042,0.4734382380643404,RFR,Standard
12,12,Linear Regression (Min Max),0.11128933781367044,0.011104206025101898,Linear Regression,Min Max
13,13,Lasso (Min Max),-0.00018937355741366346,0.01249710320879502,Lasso,Min Max
14,14,Ridge (Min Max),0.11129123086308856,0.011104182371947224,Ridge,Min Max
15,15,Elastic Net (Min Max),-0.00018937355741366346,0.01249710320879502,Elastic Net,Min Max
16,16,SVR (Min Max),-0.12654136387805234,0.014075838101825803,SVR,Min Max
17,17,RFR (Min Max),0.5109302992518165,0.006110797303120618,RFR,Min Max
18,18,Linear Regression (Robust),0.11128933781367024,54.410609522999316,Linear Regression,Robust
19,19,Lasso (Robust),0.11151897131476984,54.39655039296593,Lasso,Robust
20,20,Ridge (Robust),0.11128945739732332,54.41060220158445,Ridge,Robust
21,21,Elastic Net (Robust),0.11133122224936354,54.40804518145085,Elastic Net,Robust
22,22,SVR (Robust),-0.05375747271773301,64.51547035447406,SVR,Robust
23,23,RFR (Robust),0.5100971212926361,29.993917448861342,RFR,Robust
