,models,r2 values,MSE values
0,Linear Regression (Power),0.07347308823690146,0.9144427828172542
1,Lasso (Power),0.07152499438903914,0.9163654688577908
2,Ridge (Power),0.07347312285544216,0.9144427486502222
3,Elastic Net (Power),0.07344345269939478,0.9144720318364072
4,SVR (Power),0.3026818620174939,0.6882234401505545
5,RFR (Power),0.7039791279645354,0.29216005121858096
6,Linear Regression (Standard),0.02024879577861738,1.0698482597545913
7,Lasso (Standard),0.02045250087999395,1.0696258221119819
8,Ridge (Standard),0.02024881749031382,1.0698482360463064
9,Elastic Net (Standard),0.021215739205231787,1.068792397064362
10,SVR (Standard),0.06701549598678214,1.0187809350944173
11,RFR (Standard),0.5777972709846155,0.4610281191332782
12,Linear Regression (Min Max),0.02024879577861738,0.009782007377242484
13,Lasso (Min Max),-0.0005441951007114643,0.009989608234786895
14,Ridge (Min Max),0.0202494149084973,0.009782001195741479
15,Elastic Net (Min Max),-0.0005441951007114643,0.009989608234786895
16,SVR (Min Max),-0.07942442733350807,0.010777162269214463
17,RFR (Min Max),0.5779618849287542,0.004213702353533008
18,Linear Regression (Robust),0.02024879577861749,4.396425395627862
19,Lasso (Robust),0.02089841338459375,4.393510374622472
20,Ridge (Robust),0.020248847236219558,4.396425164722804
21,Elastic Net (Robust),0.021202432932102777,4.392146151487377
22,SVR (Robust),0.04465796972063907,4.2868944129226305
23,RFR (Robust),0.576282828271669,1.9013407958303694
