,models,r2 values,MSE values
0,Linear Regression (Power),0.12601013271143435,0.8679031009595288
1,Lasso (Power),0.12464178632359492,0.8692619177120353
2,Ridge (Power),0.1260101629716358,0.8679030709100698
3,Elastic Net (Power),0.1258729073242143,0.868039370661909
4,SVR (Power),0.15843018775351114,0.8357088303421936
5,RFR (Power),0.5400522980783424,0.4567444677767813
6,Linear Regression (Standard),0.12872928601017364,0.8392783059792712
7,Lasso (Standard),0.12745521047712316,0.8405055984130678
8,Ridge (Standard),0.12872932188842123,0.839278271418446
9,Elastic Net (Standard),0.12903745668288802,0.8389814511028301
10,SVR (Standard),0.20869630790405713,0.7622476132317018
11,RFR (Standard),0.6706202765628927,0.3172851467075068
12,Linear Regression (Min Max),0.1287292860101733,0.010886298458465246
13,Lasso (Min Max),-0.00018937355741366346,0.01249710320879502
14,Ridge (Min Max),0.12873119798658306,0.010886274568822787
15,Elastic Net (Min Max),0.050551925785891294,0.011863104016635793
16,SVR (Min Max),0.0848367557671652,0.011434724081696025
17,RFR (Min Max),0.6690715962729612,0.004134863382310463
18,Linear Regression (Robust),0.1287292860101732,53.3428624464797
19,Lasso (Robust),0.1290418008574663,53.32372897137952
20,Ridge (Robust),0.12872935328209734,53.342858327809196
21,Elastic Net (Robust),0.12917074627591552,53.315834389811485
22,SVR (Robust),0.0017482021409092052,61.11717917879
23,RFR (Robust),0.6692542137950085,20.249649959532153
